Coin name,Market,Currency,Price,Open 24H,Range 24H
DGB,Yobit,BTC,0.00000535,0.00000558,4.90000000
DGB,Cryptopia,BTC,0.0000054,0.00000546,8.19999999
DGB,CCEX,BTC,4.4E-7,4.4E-7,0
DGB,Poloniex,BTC,0.00000539,0.00000562,4.50000000
DGB,LiveCoin,BTC,0.00000535,0.00000558,6.59999999
DGB,Novaexchange,BTC,0.0000053,0.00000563,0.00000169
DGB,BitTrex,BTC,0.00000537,0.00000563,4.40000000
DGB,Cryptsy,BTC,3.6E-7,3.6E-7,0
DGB,Cexio,BTC,4.2E-7,4.2E-7,0
DGB,Cryptopia,ETH,0.000027,0.000027,0
DGB,CCEX,ETH,0.000025,0.000025,0
DGB,Novaexchange,ETH,0.000057,0.000057,0
DGB,BitTrex,ETH,0.00006459,0.0000696,0.00006543
DGB,Cryptopia,LTC,0.00039687,0.00044116,0.00005445
DGB,CCEX,LTC,1.99999997,1.99999997,0
DGB,Novaexchange,LTC,0.00040002,0.00040002,0
DGB,Novaexchange,DOGE,9.50000011,9.50000023,1.49999999
DGB,Cryptopia,DOGE,9.30000002,9.30000004,0.44999999
DGB,CCEX,DOGE,0.4450003,0.4450003,0
ZEC,BitTrex,BTC,0.06317685,0.06190027,0.00228513
ZEC,TuxExchange,BTC,0.06287245,0.06999966,0.00863917
ZEC,BitSquare,BTC,0.12711972,0.12711972,0
ZEC,Cryptopia,BTC,0.06284259,0.06097645,0.00499681
ZEC,Kraken,BTC,0.062527,0.06201,0.00465900
ZEC,HitBTC,BTC,0.063471,0.062126,0.00229900
ZEC,Bitfinex,BTC,0.062654,0.062183,0.00236899
ZEC,Yobit,BTC,0.06199968,0.0614,0.00305848
ZEC,Exmo,BTC,0.06291873,0.06224074,0.00214812
ZEC,Poloniex,BTC,0.06335895,0.06227847,0.00224135
ZEC,BTER,BTC,0.062,0.0682,0.00619999
ZEC,TheRockTrading,BTC,0.06281,0.06207,0.00362999
ZEC,Kraken,USD,218,208,12.6152899
ZEC,HitBTC,USD,216,208.76,11.6699999
ZEC,Poloniex,USD,216.937516,210,10.5461896
ZEC,Bitfinex,USD,217.15,210,10.9199999
ZEC,BitTrex,USD,217,208.98,11.4059998
ZEC,Exmo,USD,208.5,205,8.5
ZEC,Kraken,EUR,184.95367,177.5,10.9536699
ZEC,Exmo,EUR,180.341659,170.322310,12.3042016
ZEC,Poloniex,ETH,0.7757855,0.77777,0.03676073
ZEC,HitBTC,ETH,0.79,0.815559,0.08610300
ZEC,BitTrex,ETH,0.77719659,0.777,0.04790000
ZEC,Yunbi,CNY,1382,1382,0
ZEC,BTER,CNY,1455,1387,95
ZEC,Exmo,RUB,12063.2862,12000,456.069999
ZEC,Poloniex,XMR,4.19852404,4.36518728,0.36382468
ZEC,Cryptopia,XMR,2.78962492,2.78962492,0
ZEC,Cryptopia,LTC,4.78999945,4.5116921,0.47704502
ZEC,Cryptopia,USDT,215,207,8
ZEC,Cryptopia,DOGE,107815,99838.6876,11977.0558
ZEC,Cryptopia,NZDT,268.120638,292.992842,24.8722044
PRC,CCEX,BTC,0.000004,0.00000334,0.00000129
PRC,Poloniex,BTC,6.9E-7,6.9E-7,0
BTS,Yunbi,CNY,1.02,1.02,0
BTS,BTER,CNY,1.0572,1.0415,0.13999999
BTS,BTC38,CNY,1.0522,1.055,0.09089999
BTS,Yobit,BTC,0.000068,0.00008691,0.00002188
BTS,Poloniex,BTC,0.00004572,0.00004645,0.00000382
BTS,BTER,BTC,0.0000495,0.0000482,0.00000509
BTS,BitTrex,BTC,0.00004558,0.00004616,0.00000399
BTS,Yunbi,BTC,0.00000999,0.00000999,0
BTS,LiveCoin,BTC,0.00004589,0.00004666,0.00000221
BTS,Tidex,BTC,0.000055,0.000055,0
BTS,CCEDK,BTC,0.00000936,0.00000936,0
BTS,BTC38,BTC,0.0000061,0.0000061,0
BTS,BitTrex,ETH,0.00056678,0.00059632,0.00006235
BTS,Tidex,WAVES,0.03,0.03,0
NXT,LiveCoin,BTC,0.00004221,0.00004438,0.00000599
NXT,HitBTC,BTC,0.00004088,0.00004144,0.00000708
NXT,BTC38,BTC,0.000017,0.000017,0
NXT,Cryptsy,BTC,0.00003059,0.00003059,0
NXT,CCEX,BTC,0.000042,0.000048,0.00001186
NXT,BitTrex,BTC,0.00004095,0.00004143,0.00000727
NXT,CCEDK,BTC,0.000016,0.000016,0
NXT,BitSquare,BTC,0.00002464,0.00002464,0
NXT,BTER,BTC,0.0000416,0.0000458,0.00000689
NXT,Poloniex,BTC,0.00004105,0.00004089,0.00000715
NXT,Jubi,CNY,0.913601,0.912,0.13300000
NXT,BTER,CNY,0.95,0.92,0.14880000
NXT,BTC38,CNY,0.921,0.93,0.12299999
NXT,CCEDK,CNY,0.00001,0.00001,0
NXT,Poloniex,XMR,0.00272833,0.00287303,0.00039791
NXT,CCEX,DOGE,50.0000000,50,1.00000008
DASH,CryptoX,BTC,0.06620057,0.06620057,0
DASH,Cryptopia,BTC,0.0554855,0.05840194,0.00448002
DASH,BitSquare,BTC,0.06746143,0.06746143,0
DASH,BTC38,BTC,0.0118,0.0118,0
DASH,Cryptsy,BTC,0.00682957,0.00682957,0
DASH,Liqui,BTC,0.05801015,0.05828041,0.00216170
DASH,Bleutrade,BTC,0.05600007,0.05725918,0.00371418
DASH,BTCE,BTC,0.07696,0.07696,0
DASH,BitTrex,BTC,0.05745,0.0577,0.00294948
DASH,Exmo,BTC,0.05761566,0.05773005,0.00329273
DASH,Tidex,BTC,0.05700377,0.05789421,0.00303662
DASH,CCEDK,BTC,0.018,0.018,0
DASH,CCEX,BTC,0.05649923,0.05259001,0.00616447
DASH,TuxExchange,BTC,0.05775,0.05775,0
DASH,BTER,BTC,0.05607,0.05556,0.00177000
DASH,Kraken,BTC,0.059505,0.05827,0.00361999
DASH,Bitfinex,BTC,0.05766,0.058017,0.00312500
DASH,Poloniex,BTC,0.05769804,0.05775025,0.00326998
DASH,HitBTC,BTC,0.057304,0.057923,0.00314799
